2025-09-26 13:30:44,390 | INFO     | app.handlers.schedule | Пользователь 879714530 запросил расписание: 123
2025-09-26 13:30:45,304 | INFO     | aiogram.event | Update id=72524849 is handled. Duration 914 ms by bot id=8130927700
2025-09-26 13:31:05,237 | INFO     | app.handlers.schedule | Пользователь 879714530 запросил расписание: 1234567
2025-09-26 13:31:05,644 | WARNING  | app.services.csv_cache | Группа 1234567 не найдена ни в одном локальном CSV.
2025-09-26 13:31:06,056 | INFO     | aiogram.event | Update id=72524850 is handled. Duration 819 ms by bot id=8130927700
2025-09-26 13:31:17,298 | INFO     | app.handlers.schedule | Пользователь 879714530 запросил расписание: 2241125
2025-09-26 13:31:17,512 | INFO     | app.services.csv_cache | Группа 2241125 найдена в gid_1091191709.csv
2025-09-26 13:31:18,323 | INFO     | aiogram.event | Update id=72524851 is handled. Duration 1025 ms by bot id=8130927700
2025-09-26 13:31:30,300 | INFO     | app.handlers.schedule_buttons | Пользователь 879714530: 📅 Сегодня
2025-09-26 13:31:30,460 | INFO     | aiogram.event | Update id=72524852 is handled. Duration 160 ms by bot id=8130927700
2025-09-26 13:31:32,239 | INFO     | app.handlers.schedule_buttons | Пользователь 879714530: 📅 Завтра
2025-09-26 13:31:32,441 | INFO     | aiogram.event | Update id=72524853 is handled. Duration 203 ms by bot id=8130927700
2025-09-26 13:31:35,616 | INFO     | app.handlers.schedule_buttons | Пользователь 879714530: 📋 Вся неделя
2025-09-26 13:31:35,819 | INFO     | aiogram.event | Update id=72524854 is handled. Duration 203 ms by bot id=8130927700
2025-09-26 13:31:50,472 | INFO     | app.handlers.schedule_buttons | Пользователь 879714530: 🔎 Текущая неделя
2025-09-26 13:31:52,707 | INFO     | aiogram.event | Update id=72524855 is handled. Duration 2236 ms by bot id=8130927700
2025-09-26 13:31:54,961 | INFO     | app.handlers.schedule_buttons | Пользователь 879714530: ➡️ Следующая неделя
2025-09-26 13:31:57,006 | INFO     | aiogram.event | Update id=72524856 is handled. Duration 2045 ms by bot id=8130927700
2025-09-26 13:31:59,260 | INFO     | app.handlers.schedule_buttons | Пользователь 879714530: 📚 Вся без фильтров
2025-09-26 13:32:01,864 | INFO     | aiogram.event | Update id=72524857 is handled. Duration 2604 ms by bot id=8130927700
2025-09-26 13:32:05,124 | INFO     | app.handlers.schedule_buttons | Пользователь 879714530: ⬅️ Назад
2025-09-26 13:32:05,426 | INFO     | aiogram.event | Update id=72524858 is handled. Duration 303 ms by bot id=8130927700
2025-09-26 13:32:08,269 | INFO     | app.handlers.schedule_buttons | Пользователь 879714530: 🔍 Другая группа
2025-09-26 13:32:08,881 | INFO     | aiogram.event | Update id=72524859 is handled. Duration 613 ms by bot id=8130927700
2025-09-26 13:32:16,253 | INFO     | aiogram.event | Update id=72524860 is handled. Duration 204 ms by bot id=8130927700
2025-09-26 13:32:54,363 | WARNING  | aiogram.dispatcher | Received SIGINT signal
2025-09-26 13:32:54,363 | INFO     | aiogram.dispatcher | Polling stopped for bot @DarkKnifeBot id=8130927700 - 'DarkKnife'
2025-09-26 13:32:54,363 | INFO     | aiogram.dispatcher | Polling stopped
2025-09-26 13:32:54,615 | INFO     | app.main | Бот завершил работу.
2025-09-26 13:32:57,739 | INFO     | app.main | Запуск бота...
2025-09-26 13:32:57,739 | INFO     | app.services.csv_cache | CSV уже есть в кэше (6 файлов).
2025-09-26 13:32:57,749 | INFO     | aiogram.dispatcher | Start polling
2025-09-26 13:32:57,750 | INFO     | app.main | Следующее обновление CSV через 19622 сек.
2025-09-26 13:33:01,333 | INFO     | aiogram.dispatcher | Run polling for bot @DarkKnifeBot id=8130927700 - 'DarkKnife'
2025-09-26 13:33:03,815 | INFO     | app.handlers.start | Пользователь 879714530: /start
2025-09-26 13:33:04,627 | INFO     | aiogram.event | Update id=72524861 is handled. Duration 812 ms by bot id=8130927700
